Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date,Custom field (Patch Info)
Bug,CAMEL-13919,13254084,"""camel-package:update-readme"" throws ArrayIndexOutOfBoundsException when there is an empty ""adoc"" file",davsclaus,omarsmak,Minor,Resolved,Fixed,31/Aug/19 19:34,06/Sep/19 07:35,,
Bug,HBASE-22961,13254071,Deprecate hbck1 in core,stack,stack,Major,Resolved,Fixed,31/Aug/19 16:21,04/Sep/19 20:44,,
Bug,HIVE-22165,13254068,Synchronisation introduced by HIVE-14296 on SessionManager.closeSession causes high latency in a busy hive server,amrk7,amrk7,Major,Resolved,Fixed,31/Aug/19 15:00,15/Jun/20 18:11,,
Bug,GROOVY-9243,13254061,Fail to resolve nested type defined in base type written in Groovy,daniel_sun,daniel_sun,Major,Closed,Fixed,31/Aug/19 13:39,24/Nov/19 02:45,,
Bug,HDFS-14808,13254043,EC: Improper size values for corrupt ec block in LOG ,ayushtkn,Harsha1206,Major,Resolved,Fixed,31/Aug/19 07:29,02/Oct/19 20:54,,
Bug,HDFS-14807,13254042,SetTimes updates all negative values apart from -1,ayushtkn,Harsha1206,Major,Resolved,Fixed,31/Aug/19 07:18,07/Nov/19 23:44,,
Bug,HDFS-14806,13254019,Bootstrap standby may fail if used in-progress tailing,vagarychen,vagarychen,Major,Resolved,Fixed,30/Aug/19 22:31,07/Nov/19 00:31,,
Bug,CASSANDRA-15296,13254013,ZstdCompressor compression_level setting,rha,dvohra,Low,Resolved,Fixed,30/Aug/19 21:50,15/May/20 08:54,,
Bug,HBASE-22955,13254009,Branches-1 precommit and nightly yetus jobs are using jdk8 for jdk7 jobs,busbey,busbey,Major,Resolved,Fixed,30/Aug/19 20:44,17/Sep/19 14:07,,
Bug,HIVE-22164,13254001,Vectorized Limit operator returns wrong number of results with offset,rameshkumar,rameshkumar,Major,Resolved,Fixed,30/Aug/19 19:17,10/Sep/19 05:06,,
Bug,HIVE-22163,13253995,"CBO: Enabling CBO turns on stats estimation, even when the estimation is disabled",kkasa,gopalv,Major,Resolved,Fixed,30/Aug/19 18:28,27/Sep/19 17:29,,
Bug,HBASE-22952,13253967,HBCK2 replication command is incompatible with 2.0.x,psomogyi,psomogyi,Critical,Resolved,Fixed,30/Aug/19 15:38,10/Sep/19 19:53,,
Bug,IGNITE-12132,13253961,.NET: StreamTransformer is not invoked for duplicate entries,ptupitsyn,ptupitsyn,Major,Resolved,Fixed,30/Aug/19 15:10,30/Aug/19 16:16,,
Bug,SPARK-28931,13253959,Fix couple of bugs in FsHistoryProviderSuite,kabhwan,kabhwan,Minor,Resolved,Fixed,30/Aug/19 14:57,04/Sep/19 18:06,,
Bug,CASSANDRA-15295,13253939,Running into deadlock when do CommitLog initialization,gzh1992n,gzh1992n,Normal,Resolved,Fixed,30/Aug/19 13:41,15/May/20 08:38,,
Bug,SPARK-28930,13253932,Spark DESC FORMATTED TABLENAME information display issues,S71955,jobitmathew,Minor,Resolved,Fixed,30/Aug/19 13:04,20/Sep/19 07:02,,
Bug,HDFS-14802,13253904,The feature of protect directories should be used in RenameOp,ferhui,ferhui,Major,Resolved,Fixed,30/Aug/19 11:04,15/Nov/19 20:53,,
Bug,IGNITE-12128,13253871,Potentially pds corruption on a failed node during checkpoint,akalashnikov,DmitriyGovorukhin,Critical,Resolved,Fixed,30/Aug/19 08:56,09/Sep/19 15:43,,
Bug,IGNITE-12127,13253870,WAL writer may close file IO with unflushed changes when MMAP is disabled,DmitriyGovorukhin,DmitriyGovorukhin,Critical,Resolved,Fixed,30/Aug/19 08:49,05/Sep/19 13:09,,
Bug,FLINK-13908,13253863,"Broken markdown of ""Breaking the lines of too long statements"" section",azagrebin,dwysakowicz,Major,Closed,Fixed,30/Aug/19 08:24,03/Sep/19 14:02,,
Bug,FLINK-13907,13253862,Master documentation cannot be built,chesnay,chesnay,Major,Closed,Fixed,30/Aug/19 08:24,30/Aug/19 08:27,,
Bug,FLINK-13906,13253853,ExecutionConfigTests.test_equals_and_hash failed on Travis,weizhong,trohrmann,Critical,Closed,Fixed,30/Aug/19 07:54,04/Sep/19 01:21,,
Bug,HIVE-22162,13253846,MVs are not using ACID tables by default,kkasa,kkasa,Major,Resolved,Fixed,30/Aug/19 07:03,03/Sep/19 17:29,,
Bug,HIVE-22161,13253841,UDF: FunctionRegistry synchronizes on org.apache.hadoop.hive.ql.udf.UDFType class,gopalv,gopalv,Major,Resolved,Fixed,30/Aug/19 06:53,04/Sep/19 00:22,,
Bug,IGNITE-12126,13253831,ODBC: SQLNumResultCols for prepared statement,isapego,toninlg,Major,Resolved,Fixed,30/Aug/19 06:20,30/Nov/20 14:13,,
Bug,HBASE-22951,13253826,"[HBCK2] hbase hbck throws IOE ""No FileSystem for scheme: hdfs""",stack,stack,Major,Resolved,Fixed,30/Aug/19 05:17,04/Sep/19 05:57,,
Bug,FLINK-13901,13253806, Documentation links check errors in release-1.9,jark,jark,Major,Resolved,Fixed,30/Aug/19 02:10,30/Aug/19 02:16,,
Bug,SPARK-28921,13253802,"Spark jobs failing on latest versions of Kubernetes (1.15.3, 1.14.6, 1,13.10, 1.12.10, 1.11.10)",andygrove,psschwei,Major,Resolved,Fixed,30/Aug/19 01:46,17/May/20 18:25,,
Bug,MESOS-9956,13253789,CSI plugins reporting duplicated volumes will crash the agent.,chhsia0,chhsia0,Blocker,Resolved,Fixed,29/Aug/19 21:52,27/Nov/19 12:06,,
Bug,HBASE-22949,13253771,[HBCK2] Add lang3 as explicit dependency,stack,stack,Major,Resolved,Fixed,29/Aug/19 19:15,10/Sep/19 19:54,,
Bug,IGNITE-12125,13253756,Concurrency problem in PagesWriteThrottle,antonovsergey93,antonovsergey93,Critical,Resolved,Fixed,29/Aug/19 16:36,30/Aug/19 17:11,,
Bug,IGNITE-12124,13253755,"Stopping the cache does not wait for expiration process, which may be started and may lead to errors",slava.koptilin,slava.koptilin,Major,Resolved,Fixed,29/Aug/19 16:31,25/Feb/20 14:50,,
Bug,HDFS-14798,13253754,Synchronize invalidateBlocks in DatanodeDescriptor,hemanthboyina,belugabehr,Minor,Resolved,Fixed,29/Aug/19 16:25,24/Sep/19 21:11,,
Bug,SPARK-28917,13253753,Jobs can hang because of race of RDD.dependencies,irashid,irashid,Major,Resolved,Fixed,29/Aug/19 16:22,17/May/20 17:48,,
Bug,GROOVY-9238,13253751,Groovy 2.5 AnnotationCollector not generating expected bytecode,emilles,kod4n,Major,Closed,Fixed,29/Aug/19 16:16,09/Dec/19 21:36,,
Bug,SPARK-28916,13253744,Generated SpecificSafeProjection.apply method grows beyond 64 KB when use  SparkSQL,mgaido,MOBIN,Major,Resolved,Fixed,29/Aug/19 15:44,09/Sep/19 05:31,,
Bug,IGNITE-12123,13253716,"Cache throws npe at {null, null, null} array key.",mstepachev,mstepachev,Major,Resolved,Fixed,29/Aug/19 13:22,09/Sep/19 13:32,,
Bug,FLINK-13897,13253705,OSS FS NOTICE file is placed in wrong directory,chesnay,chesnay,Blocker,Closed,Fixed,29/Aug/19 12:11,03/Sep/19 09:21,,
Bug,SPARK-28912,13253698,MatchError exception in CheckpointWriteHandler,avk1,avk1,Minor,Resolved,Fixed,29/Aug/19 11:42,09/Sep/19 13:19,,
Bug,FLINK-13896,13253690,Scala 2.11 maven compile should target Java 1.8,Terry1897,Terry1897,Major,Closed,Fixed,29/Aug/19 10:49,19/Sep/19 12:08,,
Bug,FLINK-13892,13253672,HistoryServerTest failed on Travis,chesnay,chesnay,Major,Closed,Fixed,29/Aug/19 10:04,29/Sep/19 09:53,,
Bug,IGNITE-12122,13253671,Remove setIncludeEventTypes from GridAbstractTest.,zstan,zstan,Major,Resolved,Fixed,29/Aug/19 10:03,20/Sep/19 18:47,,
Bug,IGNITE-12121,13253668,Double checkpoint triggering due to incorrect place of update current checkpoint,akalashnikov,akalashnikov,Major,Resolved,Fixed,29/Aug/19 09:55,06/Dec/19 16:36,,
Bug,GROOVY-9237,13253662,GContracts and Groovy3,emilles,paulk,Minor,Closed,Fixed,29/Aug/19 09:40,24/Nov/19 02:44,,
Bug,IGNITE-12120,13253654,Change log level in GridCacheWritebehindStore,,sunnychanclsa,Trivial,Resolved,Fixed,29/Aug/19 09:20,24/Dec/19 10:14,,
Bug,HDFS-14796,13253636,Define LOG instead of BlockManager.LOG in ErasureCodingWork/ReplicationWork,ferhui,ferhui,Major,Resolved,Fixed,29/Aug/19 07:40,02/Oct/19 17:13,,
Bug,HBASE-22944,13253624,TableNotFoundException: hbase:quota  is thrown when region server is restarted.,shardulsingh,shardulsingh,Minor,Resolved,Fixed,29/Aug/19 06:04,21/Sep/19 03:09,,
